id,YEAR,NI,STOPS,NETWORK,LABOREXP,STAFF,ELECEXP,KWH,TOTCOST,PE
7,85,13,16,20212,1690,27,74,550,3207,0.2002165
7,86,13,16,20212,1712,28,78,561,3107,0.1969369
7,87,13,16,20212,1766,29,84,589,3344,0.1997403
7,88,13,16,20212,1929,30,83,591,3806,0.192912
7,89,13,16,20212,2028,31,82,571,4025,0.1922459
7,90,13,16,20212,2269,32,83,585,4537,0.1821314
7,91,13,16,20212,2518,32,91,606,4841,0.1802701
7,92,13,16,20212,2593,31,95,656,4986,0.162351
7,93,13,16,20212,2618,30,119,784,4770,0.1628602
7,94,13,16,20212,2610,30,121,773,4669,0.1622104
7,95,13,16,20212,2540,29,127,763,4498,0.1708914
7,96,13,16,20388,2515,28,129,823,4688,0.1580077
7,97,13,16,20388,2513,28,124,795,4730,0.1559749
8,85,13,39,84030,7111,127,345,2890,11310,0.1776446
8,86,13,39,84030,7478,130,477,3434,11819,0.1967494
8,87,13,39,84030,7702,135,495,3929,12928,0.1764513
8,88,13,40,84030,8084,135,519,4267,15703,0.1670757
8,89,13,40,84030,8576,138,524,3814,15881,0.1839204
8,90,13,40,84030,9303,142,536,4134,16012,0.1664397
8,91,13,40,84030,10633,144,534,4033,18310,0.1589527
8,92,13,40,84030,11336,147,560,4022,20126,0.1560922
8,93,13,40,84030,11577,144,560,3897,19334,0.1541848
8,94,13,40,84030,11890,142,591,3959,19715,0.1546944
8,95,13,40,84030,11795,141,629,4164,20352,0.155089
8,96,13,40,85182,12043,141,630,4199,20100,0.1512457
8,97,13,36,85182,11982,140,594,3923,20182,0.1514147
9,85,13,48,91036,12653,222,602,5834,23130,0.1535539
9,86,13,48,91036,12832,217,678,6034,23677,0.1591548
9,87,13,48,91036,12917,218,705,6241,22777,0.158211
9,88,13,48,91036,13382,216,613,5469,24255,0.1539647
9,89,13,48,91036,13995,219,749,6524,26330,0.1536906
9,90,13,17,91036,16096,228,780,6639,29561,0.1508185
9,91,13,48,91036,17612,229,825,6655,31712,0.1488199
9,92,13,48,91036,19445,232,935,6925,33306,0.1513655
9,93,13,48,91036,20359,229,977,7140,34566,0.1468184
9,94,13,48,91036,20340,220,1084,6947,34686,0.161698
9,95,13,51,91036,20053,215,1029,7070,34224,0.1494297
9,96,13,51,98666,19047,203,1036,7081,33337,0.1474869
9,97,13,51,98666,17779,197,1204,7020,31505,0.17151
10,85,13,39,75027,16590,289,997,10693,27241,0.1387479
10,86,13,39,75027,17100,290,1096,11019,27971,0.1408847
10,87,13,39,75027,17372,290,1166,10740,29253,0.1520534
10,88,13,39,75027,18763,301,1240,10979,32618,0.1551413
10,89,13,39,75027,20180,307,1310,10891,33761,0.1610212
10,90,13,39,75027,22608,309,1383,10999,36647,0.1614104
10,91,13,39,74905,24996,309,1437,11168,43349,0.1544672
10,92,13,39,74905,26057,311,1412,10617,44675,0.1490967
10,93,13,39,74905,26765,307,1456,10970,43549,0.1424095
10,94,13,39,74905,26329,296,1427,10438,42511,0.1416705
10,95,13,39,74905,26122,295,1674,10809,45266,0.1590051
10,96,13,39,75241,26151,292,1674,11435,43404,0.1475732
10,97,13,39,75241,28304,316,1653,11399,46244,0.1450127
11,85,13,8,6209,1722,31,149,1333,2871,0.1663362
11,86,13,8,6209,1895,33,148,1351,3021,0.1551678
11,87,13,8,6209,1803,33,163,1556,3288,0.1467168
11,88,13,8,6209,1885,33,209,1959,3979,0.1465482
11,89,13,8,6209,1979,34,183,1954,3878,0.1253736
11,90,13,8,6209,2156,34,225,2090,4798,0.138197
11,91,13,8,6209,2383,34,153,1320,4671,0.1391466
11,92,13,8,6209,2493,33,207,1608,4572,0.1443176
11,93,13,8,6209,2588,33,228,1660,4769,0.1473706
11,94,13,8,6209,2475,32,219,1616,4785,0.140435
11,95,13,8,6209,2522,32,226,1693,4919,0.1370543
11,96,13,8,6209,2480,32,225,1695,4866,0.1338139
11,97,13,8,6209,2371,30,212,1611,4932,0.1315953
12,85,13,14,22370,1600,29,52,735,2353,0.1052802
12,86,13,14,22370,1551,28,82,698,2428,0.1664002
12,87,13,14,22370,1505,28,59,619,2357,0.1334944
12,88,13,14,22370,1636,28,84,706,3360,0.1634343
12,89,13,14,22370,1510,25,95,998,3626,0.1274302
12,90,13,14,22370,1730,27,101,739,4042,0.1754444
12,91,13,14,22370,1937,27,132,1212,3674,0.1307454
12,92,13,14,22370,2067,27,151,1896,3886,0.089284
12,93,13,14,22370,2075,26,153,1115,4581,0.1472315
12,94,13,14,22370,2115,26,157,1121,4406,0.1451332
12,95,13,14,22370,2162,26,169,1220,4482,0.1422224
12,96,13,14,22370,2225,26,184,1427,4601,0.1299817
12,97,13,14,22370,2419,27,179,1282,4841,0.1396256
13,85,13,16,23138,2825,55,130,1364,4351,0.1418273
13,86,13,16,23138,2944,53,129,1361,4519,0.1342539
13,87,13,16,23138,2951,55,141,1480,4646,0.1334317
13,88,13,16,23138,3206,55,169,1773,5647,0.1309322
13,89,13,16,23138,3283,53,175,1812,5887,0.1292883
13,90,13,16,23948,3495,54,192,1930,6397,0.1277046
13,91,13,17,23948,4087,57,226,2155,7278,0.1258972
13,92,13,17,23948,4185,56,247,2008,7963,0.1379013
13,93,13,17,23948,4406,56,257,2030,7938,0.135838
13,94,13,17,23948,4232,54,253,2019,7714,0.1298545
13,95,13,17,23948,4234,52,277,2073,7825,0.1371897
13,96,13,17,23948,4277,52,291,2346,7919,0.1250412
13,97,13,17,23948,4519,52,284,2244,8373,0.1265597
14,85,13,12,17088,3328,62,186,1424,5736,0.194372
14,86,13,12,17088,3452,62,176,1385,5874,0.1799941
14,87,13,12,17088,3457,62,180,1462,6314,0.1724356
14,88,13,12,17088,3722,62,226,1653,6974,0.1878037
14,89,13,12,17088,3945,64,219,1564,7578,0.1874506
14,90,13,12,17088,4294,64,217,1583,7506,0.1759711
14,91,13,12,17088,4840,66,226,1655,8618,0.1639326
14,92,13,12,17088,5253,69,225,1631,9039,0.1546549
14,93,13,12,17088,5214,68,260,1681,9348,0.1659548
14,94,13,12,17088,5255,67,260,1716,8693,0.1570105
14,95,13,12,17088,5343,66,270,1253,9286,0.221235
14,96,13,12,17088,5484,65,274,1878,8939,0.1470765
14,97,13,12,17088,5496,64,267,1756,8794,0.1520501
15,85,13,10,18363,2471,51,154,1318,4192,0.1738746
15,86,13,10,18363,2706,51,166,1285,4481,0.1829786
15,87,13,10,18363,2706,51,171,1374,4481,0.1743055
15,88,13,10,18363,2622,44,164,1356,5550,0.1661318
15,89,13,10,18363,2901,45,199,1276,5471,0.2087766
15,90,13,10,18363,3068,46,170,1278,6264,0.1707578
15,91,13,10,18363,3329,47,171,1341,6793,0.1530814
15,92,13,10,18363,3536,47,209,1539,6492,0.1522449
15,93,13,10,18363,3534,46,215,1480,6763,0.1558694
15,94,13,10,18363,3557,44,216,1459,6904,0.1534162
15,95,13,10,18363,3576,42,236,1399,6890,0.173195
15,96,13,10,20861,3685,43,235,1521,6401,0.1557496
15,97,13,10,18363,3772,43,255,1558,6803,0.1636714
16,85,13,9,25074,2408,45,231,1895,4526,0.1813984
16,86,13,9,25074,2519,47,231,1864,4514,0.1755341
16,87,13,9,25074,2408,46,231,1921,4571,0.1684172
16,88,13,9,25074,2553,47,241,1931,4648,0.1714365
16,89,13,9,25074,2741,46,222,1884,5084,0.1577435
16,90,13,9,25074,3078,46,236,1980,5599,0.1530063
16,91,13,9,25074,3083,47,261,2028,6279,0.1544997
16,92,13,9,25074,3145,48,294,2053,6233,0.1605438
16,93,13,9,25074,2928,44,311,2010,6136,0.1660154
16,94,13,9,25074,3068,43,322,1964,6156,0.1698975
16,95,13,9,25074,3145,43,336,2052,6497,0.1681136
16,96,13,9,25571,3312,40,364,2049,6123,0.1790803
16,97,13,9,25571,3159,40,323,1803,6147,0.1791459
17,85,13,8,23608,13378,252,548,4366,18297,0.1867788
17,86,13,8,23608,13734,251,297,4447,19004,0.0945986
17,87,13,8,23608,13611,248,650,4883,18987,0.1864354
17,88,13,8,23608,13972,242,687,5145,19612,0.1834172
17,89,13,8,23654,14782,243,710,5156,21351,0.1843422
17,90,13,8,23544,16209,251,768,5603,23462,0.1759556
17,91,13,8,23544,17492,251,784,5550,25012,0.1695813
17,92,13,8,23544,18543,253,793,5367,26560,0.1656444
17,93,13,8,23544,18610,243,774,5194,26466,0.1598907
17,94,13,8,23637,18460,238,781,5089,26419,0.1590345
17,95,13,8,23637,18196,229,850,5330,26197,0.1637317
17,96,13,8,23637,17959,223,824,5186,25620,0.1601707
17,97,13,8,23637,17614,215,853,5327,25976,0.1601277
18,85,13,9,43396,12862,221,972,8454,27837,0.171094
18,86,13,9,43396,13310,228,1147,9199,29666,0.1766112
18,87,13,9,43396,13862,231,1172,9753,31391,0.1683027
18,88,13,9,43396,14270,237,1183,9463,31606,0.1717214
18,89,13,9,43396,15155,238,1174,9248,34570,0.1699416
18,90,13,9,43396,16781,241,1213,9553,38028,0.1629985
18,91,13,9,43396,19229,252,1141,8918,40033,0.1535936
18,92,13,9,43396,20608,255,1292,9229,42619,0.1569434
18,93,13,9,43396,21270,258,1296,9129,44585,0.1523231
18,94,13,9,43396,21178,250,1476,9004,43671,0.1698727
18,95,13,9,43396,20911,245,1644,9530,42423,0.1771128
18,96,13,9,43979,20652,236,1512,9051,42854,0.1684006
18,97,13,9,43979,20439,226,1572,8788,44041,0.1788803
19,85,13,39,99941,16463,294,1577,13900,31258,0.1688292
19,86,13,39,99941,17593,303,1735,14000,34676,0.1755362
19,87,13,39,99941,18352,321,1670,13900,36306,0.1682688
19,88,13,39,99941,19404,328,1917,15836,39337,0.166282
19,89,13,39,100694,20248,332,1933,15718,44209,0.1646319
19,90,13,39,100694,22167,337,1987,16170,48338,0.1577431
19,91,13,39,100718,25561,349,2207,17827,50771,0.1486206
19,92,13,39,100718,26921,341,2465,17925,54396,0.1541675
19,93,13,39,100718,27706,331,2972,18154,53411,0.175655
19,94,13,39,100718,27806,326,2925,18203,53099,0.1665159
19,95,13,39,100718,27819,323,2790,17600,51491,0.1627543
19,96,13,39,100718,28417,323,2470,17360,50809,0.1434285
19,97,13,39,100718,28273,324,2440,16770,51707,0.1454979
20,85,13,8,11234,1256,23,101,881,2271,0.1705989
20,86,13,8,11234,1288,24,129,1036,2374,0.1763702
20,87,13,8,11234,1246,22,196,1580,2924,0.1737404
20,88,13,8,11234,1328,21,243,1945,3552,0.171615
20,89,13,8,11234,1481,23,233,2000,4046,0.1559572
20,90,13,8,11234,1678,24,233,2000,4668,0.1495507
20,91,13,8,11234,1999,25,256,1998,5807,0.1538153
20,92,13,8,11234,2083,27,270,1927,6191,0.1570787
20,93,13,10,11234,1996,26,239,1686,5989,0.1520983
20,94,13,6,11234,1469,22,233,1422,5052,0.1697966
20,95,13,6,11234,1219,15,239,1456,4584,0.1685301
20,96,13,6,11411,1788,18,212,1295,5528,0.1650268
20,97,13,6,11411,1561,18,228,1274,5323,0.1789639
21,85,13,17,21189,2199,40,168,1443,4137,0.1732502
21,86,13,17,21189,2368,39,188,1531,4685,0.1739314
21,87,13,17,21189,2503,45,203,1638,4517,0.1735737
21,88,13,17,21189,2960,49,220,1735,5721,0.1741774
21,89,13,17,21189,3427,57,229,1724,6582,0.1778188
21,90,13,17,21189,3673,56,234,1749,8023,0.1717468
21,91,13,17,21189,4322,57,247,1818,9090,0.1631015
21,92,13,17,21189,4401,58,257,1814,9828,0.1588294
21,93,13,17,21189,4461,57,279,1974,9483,0.1516496
21,94,13,17,21189,4569,58,282,1978,9124,0.1477391
21,95,13,17,21189,4598,58,321,2023,9368,0.1629109
21,96,13,17,21189,4279,52,325,2112,9033,0.1551236
21,97,13,17,21189,4017,48,303,1926,9046,0.1573209
22,85,13,46,53804,21212,353,1461,13416,36429,0.1620533
22,86,13,46,53857,21315,337,1599,12795,37191,0.1770123
22,87,13,46,53857,21426,341,1601,12857,39455,0.1744028
22,88,13,46,53857,22809,347,1734,13260,41435,0.1796281
22,89,13,43,53857,23700,347,1740,13018,44388,0.1789305
22,90,13,43,53857,26238,353,1781,13303,47124,0.1718608
22,91,13,43,53857,28948,357,1865,13693,51065,0.1635066
22,92,13,43,53857,30923,358,1982,13899,54052,0.1598657
22,93,13,43,53857,31017,344,2167,15245,54024,0.1525161
22,94,13,44,53857,30108,329,2054,14452,53560,0.1472805
22,95,13,44,53857,29810,321,2237,14590,54650,0.157417
22,96,13,44,56056,29733,313,2149,14123,54955,0.1533903
22,97,13,45,56395,29059,310,2090,13863,55982,0.150761
23,85,13,14,14240,1012,19,128,1030,2479,0.1849283
23,86,13,14,14240,1097,20,117,926,3699,0.1789659
23,87,13,14,14240,995,18,102,1084,3730,0.131787
23,88,13,14,14240,951,17,151,1183,3930,0.1753319
23,89,13,14,14240,1040,18,152,1137,4276,0.1789627
23,90,13,14,14240,1192,18,157,1179,5951,0.1709418
23,91,13,14,14240,1435,21,163,1178,6876,0.1661106
23,92,13,14,14240,1513,22,177,1240,5838,0.1600246
23,93,13,14,14240,1648,23,170,1184,7162,0.154057
23,94,13,14,14240,1621,23,162,1119,6471,0.1500229
23,95,13,14,14240,1629,22,178,1159,6428,0.1576804
23,96,13,14,14455,1596,22,187,1220,6071,0.1545148
23,97,13,14,14455,1449,19,192,1192,5982,0.1610738
24,85,13,19,21935,3370,58,118,1044,6064,0.1681947
24,86,13,19,21935,3455,58,135,1079,6516,0.1772179
24,87,13,19,21935,3717,64,130,1064,6610,0.1711211
24,88,13,19,21935,4038,64,148,1145,7413,0.1775517
24,89,13,19,21935,4501,66,160,1215,8022,0.1762881
24,90,13,19,21935,5127,71,170,1275,8838,0.1711596
24,91,13,19,21935,5806,75,139,1034,10236,0.1613798
24,92,13,19,21935,5896,74,129,906,10141,0.1596234
24,93,13,19,21935,5948,70,134,934,10206,0.1539366
24,94,13,19,21935,5786,66,143,700,10248,0.211695
24,95,13,19,21935,5569,64,150,949,11120,0.1622804
24,96,13,19,21935,5754,66,147,958,11386,0.1546821
24,97,13,19,21935,5808,67,155,944,12178,0.1641949
25,85,13,5,3916,1018,19,62,550,1534,0.1677489
25,86,13,5,3916,1067,19,66,580,1565,0.16118
25,87,13,5,3916,1075,19,61,506,1575,0.1688422
25,88,13,5,3916,1162,19,61,506,1751,0.1655953
25,89,13,5,3916,1379,19,67,537,2293,0.1670244
25,90,13,6,3916,1579,23,65,512,2293,0.1629694
25,91,13,6,3916,1769,22,76,589,2765,0.1549007
25,92,13,6,3916,1705,22,77,540,2665,0.1598572
25,93,13,6,3916,1683,21,78,537,2638,0.1558491
25,94,13,6,3916,1598,20,108,661,2386,0.1693148
25,95,13,6,3916,1511,18,118,729,2303,0.1661864
25,96,13,6,4013,1530,18,118,755,2422,0.1575518
25,97,13,6,4013,1358,17,123,733,2407,0.1678035
26,85,13,33,32318,8397,146,567,5537,13590,0.152384
26,86,13,33,32318,8612,148,619,5825,13778,0.1505186
26,87,13,33,32318,9024,153,619,5849,14453,0.1482214
26,88,13,33,32318,9484,153,610,5644,15212,0.1484607
26,89,13,33,32318,9771,151,609,5428,15685,0.1501955
26,90,13,33,32318,10676,147,602,5608,16834,0.1378006
26,91,13,33,32318,11329,153,627,5720,17526,0.1315911
26,92,13,33,32318,11862,152,639,5621,18354,0.1274449
26,93,13,33,32318,12043,146,683,5812,18481,0.1260896
26,94,13,33,32318,11568,138,718,5698,19392,0.1305794
26,95,13,33,32318,11505,134,783,5786,19925,0.1389391
26,96,13,33,32318,11380,133,813,5756,19807,0.142383
26,97,13,34,32171,11388,132,802,5772,20852,0.1389466
27,85,13,14,12275,3742,66,226,2268,6161,0.1482846
27,86,13,14,12275,3854,65,231,2241,6231,0.1460042
27,87,13,14,12275,3925,65,255,2430,6175,0.1469724
27,88,13,14,12275,4232,69,272,2556,6510,0.1461762
27,89,13,15,12275,4621,71,283,2655,7049,0.1426926
27,90,13,18,12275,5099,70,316,3011,8110,0.1347221
27,91,13,18,12275,5578,70,361,3363,8389,0.1288651
27,92,13,18,12275,5853,70,374,3360,8962,0.1247865
27,93,13,18,12275,5918,70,377,3268,9233,0.123778
27,94,13,19,12275,5946,70,409,3280,9771,0.1292177
27,95,13,19,12305,5479,64,405,3219,9726,0.129174
27,96,13,19,18845,5498,63,411,3199,9697,0.1295138
27,97,13,19,18845,5445,63,395,3084,9889,0.1280804
28,85,13,12,24537,4517,78,288,2909,7591,0.147326
28,86,13,12,24537,4592,75,316,2928,8102,0.1528662
28,87,13,12,24537,4792,77,307,2935,8363,0.1464981
28,88,13,12,24537,5334,81,303,2987,8545,0.1393401
28,89,13,12,24537,5800,82,304,3084,9201,0.1319589
28,90,13,12,24537,5921,81,350,2930,10142,0.1533426
28,91,13,12,24523,6704,82,385,3147,11101,0.1468652
28,92,13,12,24523,7046,83,420,3208,12296,0.1467743
28,93,13,12,24523,7184,83,447,3245,12509,0.1478008
28,94,13,12,24523,7238,80,517,3148,12646,0.1701878
28,95,13,12,24523,7059,79,459,3291,12618,0.1431943
28,96,13,12,24762,7142,78,457,3305,13145,0.1393905
28,97,13,12,24762,7094,78,571,3237,13589,0.1763979
29,85,13,10,12212,1740,34,116,1669,3655,0.1034266
29,86,13,10,12212,1799,34,110,1475,3829,0.1056321
29,87,13,10,12212,1885,34,124,1660,3906,0.1046202
29,88,13,10,12212,2012,35,122,1629,4210,0.1028744
29,89,13,11,12212,2242,39,124,1660,4852,0.0999984
29,90,13,11,12212,2455,40,133,1778,4946,0.0960246
29,91,13,11,12212,2607,40,134,1787,5388,0.0900192
29,92,13,11,12212,2714,38,138,1845,5507,0.0838529
29,93,13,11,12212,2805,43,120,1599,5440,0.0805224
29,94,13,11,12212,2796,40,129,1751,5487,0.0763442
29,95,13,11,12212,2830,39,133,1712,5159,0.0797607
29,96,13,11,12212,2704,38,153,1690,5140,0.0912626
29,97,13,11,12212,2701,39,157,1799,5367,0.0872707
30,85,13,20,13324,2845,46,538,3639,8064,0.2200042
30,86,13,20,13324,2924,47,562,3656,8782,0.2177336
30,87,13,20,13324,2934,47,599,3900,9513,0.2151117
30,88,13,20,13324,3064,47,592,3880,9537,0.2095842
30,89,13,20,13324,3641,50,583,3799,10480,0.205437
30,90,13,20,13324,3828,51,591,3846,11384,0.1972608
30,91,13,20,13324,4202,51,607,3957,12891,0.1841525
30,92,13,20,13324,4800,55,600,3908,14587,0.1721202
30,93,13,20,13326,4761,54,606,3793,14807,0.1714249
30,94,13,20,13326,4804,51,689,3953,16276,0.1806197
30,95,13,20,13060,4527,50,713,4083,16663,0.179288
30,96,13,20,16407,5023,51,708,4182,15005,0.1706623
30,97,13,20,16407,4773,50,697,4119,14251,0.1692158
31,85,13,17,46670,12465,221,1664,15601,21834,0.15872
31,86,13,17,46670,12923,215,1852,16466,22755,0.1593119
31,87,13,17,46670,12817,211,1970,17125,23539,0.1611155
31,88,13,17,46670,13473,213,2032,17615,24205,0.1584564
31,89,13,17,46670,14822,222,2018,16425,26214,0.1644732
31,90,13,17,46670,16515,231,2120,18026,29687,0.1509729
31,91,13,17,46670,18804,237,2242,18784,34017,0.1432856
31,92,13,17,46670,20357,240,2413,18147,35092,0.1490691
31,93,13,17,46670,20441,238,3075,17940,34449,0.1839106
31,94,13,17,46670,20455,231,2679,17634,35366,0.1574326
31,95,13,17,46691,19600,223,2888,18159,35093,0.163285
31,96,13,17,49204,20251,220,2472,17930,35677,0.1389813
31,97,13,17,49204,19784,216,3094,18144,36069,0.1705247
32,85,13,14,17447,2019,37,172,1016,5533,0.2519216
32,86,13,14,17447,1952,35,208,1111,6036,0.2651823
32,87,13,14,17447,1891,34,225,1321,6192,0.2385511
32,88,13,14,17450,2041,35,237,1489,5714,0.2186363
32,89,13,14,17452,2200,35,225,1443,6424,0.2087352
32,90,13,14,17452,2207,27,225,1405,5452,0.2055743
32,91,13,14,17452,2393,32,234,1436,5759,0.1956214
32,92,13,15,17452,2379,31,257,1448,5975,0.1989755
32,93,13,15,17452,2331,28,280,1462,6227,0.2054919
32,94,13,15,17452,2229,26,288,1429,5982,0.2088493
32,95,13,14,17452,2174,25,310,1500,6007,0.2121834
32,96,13,14,17452,2147,25,324,1510,6166,0.2162999
32,97,13,14,17452,2157,25,280,1467,5892,0.1908657
33,85,13,20,55624,16471,269,1559,13554,29099,0.1711628
33,86,13,20,55624,16297,266,1702,13728,29353,0.1756093
33,87,13,20,55624,16557,271,1701,14604,29878,0.1631302
33,88,13,20,55624,17379,272,1895,15167,30566,0.171624
33,89,13,21,55624,18247,271,1760,15044,33962,0.1566133
33,90,13,21,55624,19802,281,1928,15181,35869,0.1630306
33,91,13,21,55624,21834,287,2189,17023,39163,0.1543706
33,92,13,21,55624,23294,286,2555,18255,42334,0.1569077
33,93,13,21,55624,23911,281,2643,17297,43672,0.1639496
33,94,13,21,55624,22891,265,2643,16116,42107,0.1699466
33,95,13,21,55624,22971,252,2553,17147,43317,0.1528635
33,96,13,21,65909,22824,253,2666,15962,41413,0.1683686
33,97,13,21,65909,23146,254,2658,16279,43520,0.1632778
34,85,13,32,32100,5338,101,392,3131,8604,0.186309
34,86,13,16,32100,5386,101,427,3322,8942,0.1820638
34,87,13,16,32100,5222,99,443,3542,9081,0.1751689
34,88,13,38,59759,11184,193,1016,7976,19909,0.1749755
34,89,13,38,59759,11833,195,974,7699,20968,0.1693573
34,90,13,38,59759,12273,192,986,7886,21442,0.1605028
34,91,13,38,59759,13454,190,1079,8256,23459,0.1568941
34,92,13,38,59759,14345,192,1115,8251,25003,0.1514968
34,93,13,38,59759,14438,188,1193,8276,24356,0.1546693
34,94,13,38,59759,13911,175,1164,7864,24287,0.1533847
34,95,13,38,59759,13723,167,1138,7938,25350,0.1471879
34,96,13,38,59759,13243,156,1159,7769,24981,0.1503857
34,97,13,38,59759,12483,147,1088,7626,24915,0.1426698
35,85,13,12,9800,2273,40,179,1542,4184,0.1727426
35,86,13,12,9800,2329,41,183,1537,4711,0.1686446
35,87,13,13,9800,2257,41,194,1648,4727,0.1648718
35,88,13,13,9800,2230,37,191,1617,5135,0.1622527
35,89,13,13,9800,2393,38,195,1680,4996,0.1553834
35,90,13,13,9800,2591,37,189,1570,4772,0.1545342
35,91,13,13,9800,2804,37,208,1667,5242,0.14979
35,92,13,13,9800,3026,37,225,1707,5999,0.1477693
35,93,13,13,9800,3134,38,228,1623,5871,0.1507303
35,94,13,13,9800,3201,38,243,1682,5826,0.1497107
35,95,13,13,9800,3068,36,259,1675,5757,0.1587545
35,96,13,13,9800,3120,36,261,1679,5821,0.1567033
35,97,13,13,9800,3001,36,248,1614,6048,0.1536555
36,85,13,7,5686,1065,20,57,491,1791,0.1727524
36,86,13,7,5686,1064,20,61,490,1839,0.1763312
36,87,13,7,5686,999,18,62,516,1941,0.1682844
36,88,13,7,5686,1002,17,67,567,2048,0.1623156
36,89,13,8,5686,1069,17,72,604,2170,0.1595787
36,90,13,8,5686,1104,16,72,605,2076,0.1527706
36,91,13,8,5686,1279,17,78,603,2363,0.155286
36,92,13,8,5686,1404,17,82,575,2525,0.1598752
